,ID,Group,Feature_1,Feature_2,Feature_3
0,ID503,A,2312.339528068336,395.8891221003454,4962.70126077675
1,ID438,B,2474.4747711218315,400.9827881619905,4954.030840576976
2,ID797,A,2925.837140013788,396.9855839124442,6781.374794424284
3,ID194,B,2265.8670754115537,397.1161351036437,4528.283354341638
4,ID377,C,2456.506482026957,394.9582046686559,-2056.271533056688
5,ID689,C,2719.856853054115,399.81175120835434,-2321.324199140682
6,ID992,A,2760.3796525786793,382.99432541439666,6379.086768140484
7,ID118,A,2658.4196629430194,388.05724774087435,6015.092776520063
8,ID719,C,2578.0322603613527,410.31400881940954,-2180.5935652864478
9,ID732,B,2589.7246718301026,424.7053480937514,5176.4174084275555
10,ID480,B,2595.930129294688,405.6787479966605,5190.1090522654995
11,ID903,A,2820.19739212902,395.69781241189196,6490.558637254167
12,ID187,C,2588.1251038447986,384.7307967402919,-2201.975953754455
13,ID256,C,2499.7415438842218,387.40529142731384,-2117.335877613875
14,ID973,A,2734.8533154604256,393.3118420075555,6229.660937944694
15,ID169,B,2441.22850866552,389.1922528305531,4890.15322688974
16,ID793,A,2731.4467774973186,399.2619002589335,6175.7056525132575
17,ID842,B,3025.4860559395097,413.41190742365023,6043.968589875197
18,ID621,B,2448.80709286417,410.04296266733985,4888.714506039403
19,ID442,C,2652.935528163937,402.54691181322465,-2258.1132060452965
20,ID733,A,2574.3181661838826,422.11157700985774,5598.143967187619
21,ID696,C,2107.0518291787507,410.5277149894547,-1705.8492274412629
22,ID271,A,2511.8688458649576,416.50243702199776,5428.943895484722
23,ID170,B,2312.9651717557226,409.2373385704969,4624.449705542207
24,ID747,A,2504.597106756263,408.64023374603477,5476.558477430091
25,ID164,A,2732.02765288728,409.4056517830982,6147.6605934612535
26,ID656,B,2293.7486905280016,400.40382080897064,4587.10737244308
27,ID308,B,2924.919201968642,389.18319445867354,5843.102439382901
28,ID486,B,2529.427107369356,407.95534769492144,5059.1386369921365
29,ID760,B,2643.7821421696062,406.3229826458092,5290.1297619286215
30,ID471,A,2993.3991093572727,398.91553038707787,6965.62990599737
31,ID417,A,2485.2847467972338,428.4214624396992,5313.777292047787
32,ID435,C,2343.954547343261,411.2150964192053,-1916.3714798181259
33,ID910,B,3068.068055845544,401.91593847865056,6118.855783427319
34,ID860,C,2780.211115631898,424.9224018657784,-2341.164039803894
35,ID759,B,2371.618819443189,397.9461385529002,4751.955835419408
36,ID845,C,2377.2727530751395,399.39705073722627,-1973.045337448515
37,ID617,B,2452.1421630814166,403.2652789323767,4923.478552774829
38,ID427,C,2685.6421016016143,392.22474829781413,-2324.233077736211
39,ID792,B,2413.2446628937805,388.91413567677944,4821.610704752154
40,ID201,C,2106.8765572204775,413.7439521620475,-1684.0872103138988
41,ID643,B,2162.7642198269023,421.7929716852185,4330.111067987314
42,ID807,A,2394.95458940633,414.43184510807134,5105.857717490519
43,ID745,C,2773.16604353458,373.41764182444587,-2395.0840807392256
44,ID980,A,2286.6263753967037,395.1644472711409,4910.291281412042
45,ID459,A,1741.0348397476328,417.22670487408556,3105.9806832787262
46,ID769,A,2557.390515442326,385.43189983071306,5755.455935220064
47,ID577,B,2674.194417799965,402.79627024920273,5358.605142499676
48,ID782,C,2867.502373721245,419.06847639809587,-2434.5437668261357
49,ID588,B,2593.4155959874533,422.52966919353435,5186.512853800357
50,ID301,C,2937.5834056845606,412.92120965011696,-2532.039356609001
51,ID240,B,2087.862284245236,369.58069958401285,4192.269272358564
52,ID909,A,2747.6310682774183,399.0041718876136,6256.692751064423
53,ID824,B,2421.888424892528,393.3665884687051,4846.122381237757
54,ID162,B,2238.8136005668725,401.34822275821875,4472.706716498149
55,ID867,A,2181.6427330115343,400.3852935883996,4568.496758161663
56,ID497,A,2974.5582458327954,398.1083679243498,6938.7074357446845
57,ID779,B,2300.1044586932735,390.9159721054526,4611.953753334954
58,ID873,A,2516.6109110982684,394.15250581014806,5592.616380408967
59,ID671,A,3148.5642293530873,434.2816869894037,7270.578750955206
60,ID455,B,2369.7755547759843,413.3937111738459,4736.392975146422
61,ID767,A,2718.246554588075,384.9404783581058,6240.4286959336505
62,ID328,B,2957.8284638036716,389.0879913001404,5920.201891786382
63,ID469,B,2291.489501135296,411.79272832204856,4584.701546882781
64,ID443,B,2696.0205761247125,411.4552875199543,5388.36286181321
65,ID606,B,2235.8222359296433,415.6074960714749,4491.7512276382795
66,ID543,C,1739.1766088989575,405.170919603546,-1355.084278599251
67,ID878,C,2872.025047667621,407.27603732111163,-2460.306466529434
68,ID723,A,2175.6910162089075,412.6112525217447,4494.964174156757
69,ID151,C,2485.729996470581,385.28864927416527,-2093.3145788871134
70,ID419,C,3005.872315648752,395.0153987103315,-2602.9002225466365
71,ID802,B,2827.4984589872925,412.19892985992965,5659.9458486575695
72,ID803,A,2333.273468307673,396.0028578153295,5018.468735586168
73,ID411,B,2709.684480907641,402.87366459028715,5443.4582061420015
74,ID366,A,2394.334403007328,424.26138133096924,5061.700044304811
75,ID555,C,2272.2457038619873,402.24700551001314,-1860.284525550997
76,ID820,C,2608.0872588936472,404.84173999170105,-2208.1198100084334
77,ID936,C,2606.7854170536766,397.5705035164043,-2200.2015349684207
78,ID755,B,2221.2160563053044,386.59271696640144,4433.999996698417
79,ID237,B,2187.209847885158,403.0035938260163,4357.698540316562
80,ID544,A,1919.3436524159845,374.0787617181304,3888.5831242892223
81,ID632,A,2869.2187129655067,424.0573805028922,6507.009674060089
82,ID520,B,2829.1747519677847,396.11254686465855,5663.890149981082
83,ID941,C,2556.272542227518,405.6399979746456,-2152.0315754346275
84,ID244,A,3138.308007126775,405.35102046812335,7376.626926298701
85,ID540,B,2574.1162411041246,392.04922612168656,5143.876080253351
86,ID813,B,2295.7132534271277,399.1133142919617,4603.922554304448
87,ID207,A,2109.5033912237695,420.0024593084303,4226.115161226177
88,ID125,A,2285.1671234499613,378.0388771253486,4977.49683815241
89,ID542,B,2755.5363452582574,381.7671521698508,5515.957709276158
90,ID132,A,2626.319541298571,391.07414636050356,5936.80657123043
91,ID710,B,2443.6095873991208,365.5519636064358,4879.062622945157
92,ID554,B,2026.4655958176008,407.2528577000035,4047.701126115066
93,ID466,B,2251.8833373746884,374.7867239249596,4509.718266435016
94,ID651,B,2717.0719265262514,385.1740098977679,5439.2418693246545
95,ID891,C,2544.2019090694985,388.2200587245156,-2141.3508874348518
96,ID572,C,2152.719034945608,390.4349918823204,-1767.905677084279
97,ID265,A,1856.5409637344958,395.4362706975362,3586.355697533065
98,ID508,A,2293.169054736455,400.0611340080047,4877.231993873494
99,ID323,B,2673.072791633006,421.6428584680703,5344.428675381937
100,ID421,A,2845.1065946527337,383.7174075516069,6614.1246074872915
101,ID433,C,2360.8473150352306,424.7890918097495,-1931.023935635388
102,ID902,B,2057.5922943085293,398.00735716833907,4114.818728847223
